University or School Name,Website,Street Address,City,State,Zip,Library Name,Library Website,Twitter Profile,Blog,Facebook Page,Staff Directory Page
Barry University (Dwayne O. Andreas School of Law),http://www.barry.edu/law,6441 East Colonial Drive,Orlando,FL,32807,Euliano Law Library,http://www.barry.edu/law/future-students/library/,none found,https://barrylawlibrary.wordpress.com/,https://www.facebook.com/barrylawlibrary,http://www.barry.edu/law/future-students/library/library-staff.html
Florida A&M,http://law.famu.edu/,201 Beggs Ave,Orlando,FL,32801,Florida A&M University College of Law Library,http://library.famu.edu/c.php?g=276137&p=1842228,https://twitter.com/FAMULawLibrary,none found,https://www.facebook.com/FAMU-Law-Library-111289268905712/,http://library.famu.edu/c.php?g=276137&p=1841476
WMU Thomas M. Cooley (Tampa Bay),http://www.cooley.edu/,9445 Camden Field Pkwy,Riverview,FL,33578,Law Library,http://www.cooley.edu/library/contact.html,none found,none found,none found,http://www.cooley.edu/library/contact.html
Florida State University,http://www.law.fsu.edu/,425 W. Jefferson Street ,Tallahassee,FL,32306-1601,College of Law Research Center,http://archive.law.fsu.edu/library/index.html,https://twitter.com/FSULawRC,http://fsulawlibraryblog.typepad.com/,https://www.facebook.com/FSULawRC/,http://archive.law.fsu.edu/library/staffdirectory.html
University of Georgia,http://www.law.uga.edu/,225 Herty Drive,Athens,GA,30602-6012,Alexander Campbell King Law Library,http://www.law.uga.edu/law-library,https://twitter.com/ugalawlibrary,https://ugalawlibrary.wordpress.com/,https://www.facebook.com/UGALawLibrary/,http://www.law.uga.edu/law-library-faculty-staff
Atlanta's John Marshall Law School,http://www.johnmarshall.edu/,1422 W. PEACHTREE ST. NW,Atlanta,GA,30309,Michael J. Lynch Law Library,http://johnmarshall.beta.libguides.com/library,none found,none found,none found,http://johnmarshall.beta.libguides.com/library/staff
Emory University,http://www.law.emory.edu/,1301 Clifton Road NE,Atlanta,GA,30322-2770,Hugh F. MacMillan Law Library,http://library.law.emory.edu/index.html,none found,none found,none found,http://library.law.emory.edu/about-the-library/library-staff.html
Georgia State University,http://law.gsu.edu/,85 Park Place NE,Atlanta,GA,30303,Law Library,http://lawlibrary.gsu.edu/,https://twitter.com/gsulawlib,http://theblackacretimes.com,https://www.facebook.com/georgiastatelawlibrary/,http://lawlibrary.gsu.edu/department/law-library/
Mercer,https://law.mercer.edu/,1021 Georgia Ave,Macon,GA,31207,Furman Smith Law Library,https://law.mercer.edu/library/,none found,none found,none found,https://law.mercer.edu/library/information/
University of Hawaii (William S. Richardson School of Law),http://www.law.hawaii.edu/,2525 Dole Street,Honolulu,HI,96822-2328,Law Library,https://www.law.hawaii.edu/library,https://twitter.com/UHLawLibrary,https://uhlawlibrary.wordpress.com,https://www.facebook.com/Richardsonlawlibrary,https://www.law.hawaii.edu/library-faculty-and-staff
Drake University,http://www.law.drake.edu/,2621 Carpenter Avenue,Des Moines,IA,50311,Law Library,http://www.law.drake.edu/library/,https://twitter.com/drakelawlibrary,none found,none found,http://www.law.drake.edu/library/?pageID=libStaff
University of Iowa,http://www.law.uiowa.edu/,220 Boyd Law Building,Iowa City,IA,52242,Law Library,http://library.law.uiowa.edu/,https://twitter.com/UIowaLawLibrary,http://library.law.uiowa.edu/articles,https://www.facebook.com/UIowaLawLibrary,http://library.law.uiowa.edu/people
Concordia University,http://law.cu-portland.edu/,501 West Front Street,Boisie,ID,83702,George R. White Law Library,http://law.cu-portland.edu/library/databases,none found,none found,none found,http://law.cu-portland.edu/library/about/faculty-staff
University of Idaho,http://www.uidaho.edu/law/,514 W Jefferson St.,Boisie,ID,83702,Law Library,http://www.uidaho.edu/law/library,none found,none found,none found,none found
University of Idaho,http://www.uidaho.edu/law/,711 S. Rayburn Drive,Moscow,ID,83844,Law Library,http://www.uidaho.edu/law/library,none found,none found,https://www.facebook.com/UniversityOfIdahoCollegeOfLawLibrary/,http://www.uidaho.edu/law/library/information/staff
Southern Illinois University,http://www.law.siu.edu/,1150 Douglas Drive,Carbondale,IL,62901,Law Library,http://www.law.siu.edu/library/index.html,none found,none found,none found,http://www.law.siu.edu/lawlib/info/directory.htm
